奚大卿许赋生香亭诗以促之（宋·吴晦之）　　七言绝句　押麻韵	暗香浮动月初斜，彷佛西湖处士家。谁道广平心似铁，不将佳句赋梅花。
山庵睡起（宋·吴晦之）　　七言绝句　押阳韵	策蹇寻幽过草堂，困来攲枕卧禅床。鸟啼花落东风里，睡起不知春昼长。
蓬窗（宋·吴晦之）　　七言绝句　押东韵	小室潇然一钓蓬，主人闲散似渔翁。有时风雨惊残梦，如在松江烟浪中。
春日即事（宋·吴晦之）　　七言绝句　押灰韵	山居无事到襟怀，日午柴门尚未开。啼鸟一声春昼寂，隔墙风送落花来。
山亭偶成（宋·吴晦之）　　七言绝句　押删韵	二十四考成何事，三百六十长是闲。古今穷达置勿论，坐看烟云生西山。
赠江西诗客（宋·吴晦之）　　七言绝句　押阳韵	五言诗作七宝塔，四壁惟馀八尺床。一月二十九日醉，百年三万六千场。
送友人西上（宋·吴晦之）　　七言绝句　押青韵	晓行山路梅花白，晚宿溪桥柳色青。此去西湖春渐暖，画船沽酒水边亭。
后圃寻春（宋·吴晦之）　　七言绝句　押真韵	雨馀未访后园春，百紫千红锦幛新。记得钱塘买花看，于今风景属闲人。
忆江湖旧游（宋·吴晦之）　　七言绝句　押江韵	水满汀洲白鹭双，芦花飞雪扑船窗。归来常有江湖兴，遥想钟声隔岸撞。
雪后寻梅（宋·吴晦之）　　七言绝句　押麻韵	略彴溪桥小径斜，竹篱茅舍两三家。红梅似与诗人约，腊雪初消始看花。
溪头唤渡（宋·吴晦之）　　七言绝句　押先韵	轻烟漠漠晓晴天，立马汀沙唤渡船。白鸟忘机思虑息，避人飞过急滩前①。
寄石鲁瞻（宋·吴晦之）　　七言绝句　押东韵	忆昔从游杖履中，有山亭上醉春风。主人已作骑鲸客①，谁识当年两病翁②。
