将之豫章别葆光先生（宋·张坚）　　七言绝句　押删韵	西山唤我陪轻举，上馆留君养大还。莫起世间离别念，他年相见两童颜。
鹤庙松（宋·张坚）　　七言绝句　押微韵	谁种飞仙百丈梯，风摧雨折昔人非。凭谁寄语杨员外，留取孙枝待令威。
茅山雨中（宋·张坚）　　七言绝句　押庚韵	疏疏雾雨閟朝晴，不那浮云先自生。传语洞灵休勒驾，而今逋客已归耕①。
