定林寺（宋·刘矩）　　七言绝句	联镳小憩定林庵，祗欠携壶太子岩。禅律兵机非二致，山僧笑我饱曾参①。
凤凰台（宋·刘矩）	凤台何亭亭，迥与雨华对。凭高一登眺，秋事渺无际。鹭洲赏心前，牛首秦淮外。万叠云稼横，百缆风樯会。眷言簿书隙，载酒邀华旆。翰林诗百篇，生公法三昧。皮肤虽不似，妙趣总相类。怀古睇平芜，可但高李辈。忆昔耿与韩，造膝陈大计。高光课厥成，一语不相戾。江淮今清晏，河路尚腥秽。蛇豕相噬吞，天已厌戎裔。箕敛民弗堪，恶稔将自毙。愤激闻鸡舞，慷慨中流誓。尺棰仗皇灵，喋血笞其背。燕然彼有石，深刻诏来世。兵强在食足，万灶馀廪廥。叶奏酂侯功，接武文石陛①。
羊角由（宋·刘矩）	羊角仙人在何许，江南杳霭苍烟暮。空馀拳石在人间，至今指作神仙处。当年馆宇幻玲珑，只今阻绝那能逢。市上无非神仙辈，人心自隔蓬莱宫。我来访古思绵邈，月满谯楼夜吹角。神仙咫尺不可知，帝乡汗漫何可期①。
