讽留梦炎（宋·罗志仁）　　七言绝句　押真韵	齧雪苏郎受苦辛，庾公老作北朝臣。当年龙首黄扉者①，犹是衡门一样人②。
题汪水云诗卷（宋·罗志仁）　　押先韵	歌舞儿嬉度岁年，当时先见忆龙川。绝怜遗俗依然在，日日百花金胜船。
金人捧露盘 丙午钱塘（宋·罗志仁）	湿苔青，妖血碧，坏垣红。怕精灵、来往相逢。荒烟瓦砾，宝钗零乱隐鸾龙。吴峰越巘，翠颦锁、苦为谁容。浮屠换、昭阳殿，僧磬改、景阳钟。兴亡事、泪老金铜。骊山废尽，更无宫女说元宗。角声起，海涛落，满眼秋风。
霓裳中序第一 四圣观（宋·罗志仁）	来鸿又去燕。看罢江潮收画扇。湖曲雕阑倚倦。正船过西陵，快篙如箭。凌波不见。但陌花、遗曲凄怨。孤山路，晚蒲病柳，淡绿锁深院。谁恨。五云深处宫殿。记旧日、曾游翠辇。青红如写便面。下鹄池荒，放鹤人远。粉墙随岸转。漏碧瓦、残阳一线。蓬莱梦，人间那信，坐看海涛浅。
风流子 泛湖（宋·罗志仁）　　押齐韵	歌咽翠眉低。湖船客、尊酒谩重携。正断续斋钟，高峰南北，飘零野褐，太乙东西。凄凉处，翠连松九里，僧马溅障泥。葛岭楼台，梦随烟散，吴山宫阙，恨与云齐。灵峰飞来久，飞不去，有落日断猿啼。无限风荷废港，露柳荒畦。岳公英骨，麒麟旧冢，坡仙吟魄，莺燕长堤。欲吊梅花无句，素壁慵题。
扬州慢（宋·罗志仁）　　押侵韵	危榭摧红，断砖埋玉，定王台下园林。听樯干燕子，诉别后惊心。尽江上、青峰好在，可怜曾是，野烧痕深。付潇湘渔笛，吹残今古销沈。妙奴不见，纵秦郎、谁更知音。正雁妾悲歌，雕奚醉舞，楚户停砧。化碧旧愁何处，魂归些、晚日阴阴。渺云平铁坝，凄凉天也沾襟。
虞美人 净慈尼（宋·罗志仁）	君王曾惜如花面。往事多恩怨。霓裳和泪换袈裟。又送鸾舆北去、听琵琶。当年未削青螺髻。知是归期未。天花丈室万缘空。结绮临春何处、泪痕中。
木兰花慢 禁酿（宋·罗志仁）	汉家糜粟诏，将不醉、饱生灵。便收拾银瓶，当垆人去，春歇旗亭。渊明权停种秫，遍人间，暂学屈原醒。天子宜呼李白，妇人却笑刘伶。提葫芦更有谁听。爱酒已无星。想难变春江，蒲桃酿绿，空想芳馨。温存鸬鹚鹦鹉，且茶瓯淡对晚山青。但结秋风鱼梦，赐酺依旧沈冥。
菩萨蛮慢（宋·罗志仁）	晓莺催起。问当年秀色，为谁料理。怅别后、屏掩吴山，便楼燕月寒，鬓蝉云委。锦字无凭，付银烛、尽烧千纸。对寒泓静碧，又把去鸿，往恨都洗。桃花自贪结子。道东风有意，吹送流水。谩记得当日、心嫁卿卿，是日暮天寒，翠袖堪倚。扇月乘鸾，尽梦隔、婵娟千里。到嗔人、从今不信，画檐鹊喜。
句（宋·罗志仁）　　押阳韵	冷吸蝉吭露，清摇鹤背霜（就试诗）。
