虎丘（宋·王绅）　　七言绝句　押东韵	山头古寺多陈迹，故国空馀气象雄。霸业已随流水去，阖闾坟草又西风①。
太皇太后生日（宋·王绅）　　七言绝句　押庚韵	太皇生日最尊荣，献寿宫中未五更。天子捧觞仍再拜，宝慈侍立到天明①。
太后幸景灵宫驾前露面双童女（宋·王绅）　　七言绝句　押冬韵	平明綵仗幸琳①宫，紫府仙童下九重。整顿珑璁时驻马，画工暗地貌真容②。
