遂初亭（宋·蔡载）　　五言绝句　押支韵	结庐傍林泉，偶与初心期。佳处时自领，未应鱼鸟知。
望云亭（宋·蔡载）　　五言绝句　押萧韵	白云来何时，英英冠山椒。西风莫吹去，使我心摇摇。
芳美亭（宋·蔡载）　　五言绝句　押真韵	高人不惜地，自种无边春。莫随流水去，恐污世间尘。
通惠亭（宋·蔡载）　　五言绝句　押纸韵	水行天地间，万派同一指。胡为穿石来，要洗巢由耳①。
题胶山寺绣佛（宋·蔡载）　　五言绝句　押真韵	妙相夺天真，针针巧入神。几多瞻佛者，还想用心人。
句（宋·蔡载）　　押真韵	应有化人巢木末，枝间一国自行春（赋梅花）。
