姑苏灵岩寺（宋·陈善）　　五言绝句　押沃韵	山僧不好古，改作任所欲。洞荒径已迷，廊空响谁续①。
和人（宋·陈善）　　七言绝句　押先韵	鲛绡巧织在深泉，不与人间机杼联。要知妙在笔墨外，第一莫为醒者传①。
满江红（宋·陈善）　　押职韵	三月风前花薄命，五更枕上春无力。
句（宋·陈善）　　押庚韵	不到沧浪亭上望，那知此句是天成（游西园）。
句（宋·陈善）　　押文韵	春风一日归深院，巫峡千山锁暮云（书贵家扇）。
