隐求斋 其二（宋·林汝砺）　　五言绝句　押尤韵	朝同猿鸟吟，暮与麋鹿游。吾生有良愿，舍此当安求①。
隐求斋 其一（宋·林汝砺）　　七言绝句　押东韵	蜗名蝇利处樊笼，世事其如转眼空。惟有高人林下隐，只求明月与清风。
题武夷仙掌岩（宋·林汝砺）　　七言绝句　押文韵	汉武升遐几度春，金茎事迹总无闻。悬崖更不承朝露，空印纤纤十指纹①。
