通真观（宋·李坚）　　七言绝句　押寒韵	璇璿非复旧宫坛，独向徐碑识二难。井底丹灵勿轻汲，昔年曾寿两苍官。
冲寂观（宋·李坚）　　七言绝句　押灰韵	玉兔朝天去不回，空馀露井荐晨杯。屋铃不语湖如掌，无复凌空逸士来①。
余皮（宋·李坚）　　七言绝句　押青韵	小试屠龙技已成，遗踪千载詟英灵。舳舻不骇风波恶，烟雨时闻草木腥①。
离群村（宋·李坚）　　七言绝句　押文韵	好风吹句落烟村，便作棠阴记使君。渠有平生绝尘想，群居那得似离群①。
句（宋·李坚）　　押灰韵	勿讶韦郎誇酷似，情知苏子赋归来（宜兴蜀风）。
