都梁宫（宋·吴宗旦）　　七言绝句　押尤韵	从来香草骚人咏，晚作离宫炀帝游。三殿重重锁秋色，七泉脉脉贯中流①。
九顶大像阁（宋·吴宗旦）　　七言绝句　押元韵	嘉州石佛名天下，回视新昌可子孙。幸甚身游大人国，恍然梦跨北溟鲲①。
金釜山灵泉（宋·吴宗旦）　　七言绝句　押元韵	泉来有脉去无痕，水底神龙暗吐吞。莫怪一池杯样小，个中风雨洗乾坤①。
句（宋·吴宗旦）　　押尤韵	避暑自应归故国，无端依旧入扬州①。
