三友堂 山（宋·宇文绍奕）　　五言绝句　押职韵	峭拔耸青天，巍峨镇方国。愿与君为友，万古长一色。
三友堂 泉（宋·宇文绍奕）　　五言绝句　押职韵	青泉出山下，到海流不息。愿与君为友，果行而育德。
三友堂 风（宋·宇文绍奕）　　五言绝句　押物韵	清风泠然来，襟袖皆披拂。愿与君为友，相见长及物。
三友堂 竹（宋·宇文绍奕）　　押屑韵	清淡不媚春，挺挺凌霜雪。愿与君为友，虚中而劲节。
三友堂 月（宋·宇文绍奕）　　押啸韵	明月丽青天，群星隐晶耀。愿与君为友，容光无不照①。
