偈二十首（宋·释鼎需）	隈严遁谷，败种焦牙。应物随形，拖泥带水。
颂古四首（宋·释鼎需）　　押先韵	入息未尝居阴界，出息何曾涉万缘。一声渔笛离南浦，依旧芦花深处眠。
偈四首（宋·释鼎需）	便请从东过西，不妨水云自若。如其稍涉迟回，直是一槌粉碎。
偈（宋·释鼎需）　　押虞韵	顶门竖亚摩醯眼，肘后斜悬夺命符。瞎却眼，卸却符，赵州东壁挂葫芦①。
颂古十七首（宋·释鼎需）	鸟窠佛法无多子，只在褴襂一布毛。一气吹来何处去，至今天下有譊讹①。
自赞（宋·释鼎需）　　押尤韵	一不爱乖崖傲物，又不爱像楼打楼。饱谙世事慵开口，暗展双眉自点头①。
