梦蝶（宋·柯梦得）　　七言绝句　押微韵	一觉千年一转机，觉来还是梦还非。当时梦里如为蝶，便好穿花傍水飞①。
见旧题壁（宋·柯梦得）　　七言绝句　押真韵	小迟点笔醉还嗔，画断萧梁古佛尘。今日重来应抵掌，十年分付未逢人。
晚望（宋·柯梦得）　　七言绝句　押东韵	无数寒鸦来远钟，物华心迹偶然同。不知海北江南路，更有愁人立晚风①。
李长吉（宋·柯梦得）	天遣皇孙二十七，若木望来高几尺。行空万里是祥云，入地千年成琥珀。玉楼渺漠无人到，高台自古悲风早。碧云尽处是天衢，更没青青河畔草。
方公祠堂迎送神曲（宋·柯梦得）	思公不见兮我心愁，渺八荒兮远游。严祀事兮岁修，几来下兮淹留，勤恤祈天兮惠泽周。如父母兮子孙谋，非公休我兮我何以休，谁知公心兮不独桂人是忧。蘅杜兮荐羞，桂醑兮芬浮。临飨兮谁酢酬，胥乐兮和气流。是感是慕兮无昭幽，惠我桂人兮百千秋。菲荐毕陈兮歆斯鉴斯，歌鼓方洽兮送歌继之。拥翠云兮祥风驰，乘雾毂兮扬桂旗。秀峙兮瑩澌，可游兮可嬉。来何从兮去莫追，怅望不及兮天一涯。化灾沴兮景贶绥，愿倏尔兮祀事孔时①。
句（宋·柯梦得）　　押东韵	龙首山头桑苧翁①。
陌上桑（宋·柯梦得）	朝采陌上桑，暮采陌上桑。一桑十日采，不见薄情郎。正是吴头桑叶绿，行人莫唱江南曲。
