出山相赞 其二（宋·释如净）　　七言绝句　押灰韵	摩耶落赚屙出来，撞入草窠打一回。谁知有屈叫不得，殃害儿孙作罪魁。
达磨赞 其二（宋·释如净）　　七言绝句　押寒韵	金乌飞上玉阑干，黑漆昆崙背面看。毕竟者些传不得，落花流水太无端。
善财赞（宋·释如净）　　七言绝句　押寒韵	捏住乾坤粉一团，大人刚被小人瞒。机先若具机先眼，走杀从教起衅端。
普化赞（宋·释如净）　　七言绝句	者汉走从何处来，鼓合临济白拈贼。铎声摇撼动风雷，至今大地俱狼藉。
端狮子赞（宋·释如净）　　七言绝句　押支韵	咄哉捏怪老狐狸，披起金毛狮子皮。弄尽任从天外去，尾巴败露已多时。
言法华赞（宋·释如净）　　七言绝句	脚下长拖破木履，口内不知道甚底。恼乱风光没奈何，南北东西无定止。
济颠赞（宋·释如净）　　七言绝句　押尤韵	天台山里五百牛，跳出颠狂者一头。赛尽烟花瞒尽眼，尾巴狼藉转风流。
干藏（宋·释如净）　　七言绝句　押歌韵	瞿昙老贼口亲屙，驴屎相兼马屎多。打作一团都拨转，泼天臭恶恼娑婆。
化炭（宋·释如净）　　七言绝句　押庚韵	一刀两段没商量，透出无明大火坑。再入死灰烹得活，岁寒声价转峥嵘。
起净慈方丈（宋·释如净）　　七言绝句	方方一丈牯牛栏，佛祖驱来要透关。聊借眉毛相架搆，遮天盖地黑漫漫。
牧翁（宋·释如净）　　七言绝句　押先韵	自家鼻孔自家穿，自家绳索自家牵。自家忽地都忘却，一笛清风送楚天。
讲人更衣（宋·释如净）　　七言绝句　押尤韵	老胡教网漫天阔，当甚多年椀脱丘。勘破转关千圣外，别行条贯结冤雠。
风铃（宋·释如净）　　七言绝句　押东韵	通身是口挂虚空，不管东西南北风。一等与渠谈般若，滴丁东了滴丁东。
敬溪翁（宋·释如净）　　七言绝句　押灰韵	揭翻古剡岸云开，峻发清机劈箭来。裂转面皮乾剥剥，万山奔浪笑咍咍。
送亮藏主谒碧云（宋·释如净）　　七言绝句　押寒韵	咬狗猪汉烂泥团，撮著参天剑刃寒。转入春风开笑眼，桃花红照碧琅玕。
送僧见明极和尚（宋·释如净）　　七言绝句　押庚韵	机丝抽尽万缘平，休倚寒岩转路程。千圣不携无影像，那边借伴月华明。
送僧（宋·释如净）　　七言绝句　押侵韵	生逼猢狲坐铁砧，一槌天地尽崩沈。横来竖去呵呵笑，吃饭噇眠迈古今。
送觉兄归洞庭（宋·释如净）　　七言绝句　押侵韵	觉尽还源见本心，洞庭无盖碧沈沈。衲僧不作这伎俩，浪急风高意转深。
相士（宋·释如净）　　七言绝句	月落沧溟夜渺漫，衲僧面目太寒酸。拟将祸福轻偷眼，恶浪狂风衮乱山。
牛图（宋·释如净）　　七言绝句　押尤韵	柳堤烟敛春风静，鼻孔辽天一牯牛。拽转通身依旧黑，野花芳草转风流。
