书感（宋·杨再十一君）　　七言绝句　押齐韵	枫江渡口草凄凄，桃浦桥边夕照低。惟有旧家双燕子，年年飞绕绿杨堤。
夜坐（宋·杨再十一君）　　七言绝句　押萧韵	竹窗吹雨夜潇潇，独拥寒炉叹寂寥。坐久不知更漏永，镫花零落篆香消①。
咏史（宋·杨再十一君）	张良大父父，相韩五世君。报仇误一击，佐命筹三军。灭秦复诛项，兴汉称元勋。始终心为韩，义烈千载闻。吾家世臣宋，绂冕兴如云。于今虽为庶，义不忘宋恩。国亡幸免死，忍复干禄云。耻为肤敏士，宁作殷顽民。
