驻马坡（宋·叶辉）　　七言绝句　押歌韵	将军气势溢江河，跃马曾来驻此坡。坡下石头城最险，屯兵正自不消多①。
秦淮次北谷罗叠韵（宋·叶辉）　　七言绝句　押尤韵	人言王气在鄣州，嬴政因来凿此流。地脉何曾真断得，几多天子御宸楼①。
白鹭亭次罗公愚韵（宋·叶辉）　　七言绝句　押青韵	白鹭洲边敞此亭，淮山江水瞰芦汀。鹭飞点点星颜色，那似公山鹤有灵①。
咏清凉寺竹（宋·叶辉）　　七言绝句　押文韵	茂林修竹绿侵云，清到心君赖有君。李主当年饱凉后，民间苦热几曾闻①。
