拈古十四首 其四（宋·释法薰）　　五言绝句　押纸韵	大家在这里，廓彻无依倚。有口难分疏，冻破一双耳。
仙人望月濯足（宋·释法薰）　　七言绝句　押先韵	夜静山空月半弯，挽衣垂足涤潺湲。无人领此深深意，别向壶中更觅天。
赞宗道者（宋·释法薰）　　七言绝句　押支韵	走下桐城赤脚归，半风颠又半憨痴。草鞋却把袈裟裹，二虎双鸦笑杀伊。
赞蓑衣道人（宋·释法薰）　　七言绝句　押歌韵	佯狂混迹养天和，上界其如官府多。暑了又寒寒又暑，一蓑衣外更无他。
道号毒果（宋·释法薰）　　七言绝句　押寒韵	铁树花开半夜间，枝头结个子团团。古今药杀人无数，不信教伊咬破看。
化柴（宋·释法薰）　　七言绝句　押先韵	祖翁元是卖柴汉，今日无柴却可怜。去谒檀门好收拾，归来要接午炊烟。
送圭士庵归蜀（宋·释法薰）　　七言绝句　押尤韵	昔日随流今逆流，昔时今日有来由。李将军本穿杨手，误向南山射石头。
化砌灶（宋·释法薰）　　七言绝句　押庚韵	镬已铸成无渗漏，灶犹未砌正经营。嵩山杖子休拈出，我要粥香闻五更。
送琮监寺住院（宋·释法薰）　　七言绝句	桐江江上一丝风，不钓盲龟只钓龙。浮定有无谁识意，夜凉如水月如弓。
上张及庵乞米（宋·释法薰）　　七言绝句　押东韵	南山近日饭篱空，衲子难教口欱风。引臂上方香积界，须劳金粟展神通。
接待（宋·释法薰）　　七言绝句　押真韵	满甑熟炊无米饭，半途长接不来人。但持此语诸方去，博得知音一笑新。
题石霜雷迁塔（宋·释法薰）　　七言绝句　押阳韵	一念慈容元不隔，何须特地肆乖张。平高就下婆心切，恼得雷公一夜忙。
自颂石田（宋·释法薰）　　七言绝句　押支韵	石上栽田世所稀，老农闻说也攒眉。有人下得泥犁种，别甑炊香供养伊。
送韶化士干灵云古寺基（宋·释法薰）　　七言绝句　押文韵	剑客重寻眼翳生，至今孤露不堪闻。老韶直下能扶起，十□精神减八分。
送干钟（宋·释法薰）　　七言绝句　押庚韵	大炉鞴里笑翻身，空腹高心许十成。好听玉楼撞动处，和声送出太分明。
送皎中庵住广寿（宋·释法薰）　　七言绝句　押虞韵	名字馨香满道途，挽将洞水注南湖。他时把杖来轻探，莫谓从前一滴无。
送月首座住庵（宋·释法薰）　　七言绝句　押先韵	结草为庵自昔贤，古今谁后复谁先。客来须得通方句，莫只随邪竖起拳。
吴道夫乞语（宋·释法薰）　　七言绝句　押先韵	走得波波两履穿，担头书卷未能捐。待君患过维摩病，却好重来见石田。
送巢道士（宋·释法薰）　　七言绝句　押东韵	一点灵光触处通，心空不见太虚空。五千言把为玄妙，湿纸如何裹大虫。
送吉州云上人（宋·释法薰）　　七言绝句　押真韵	语言动静总天真，叉手徒劳问别人。旧说青原白家酒，子归切忌再沾唇。
