句（宋·释洪英）　　押先韵	喜得狼烟息，弓弰壁上悬。
偈二首（宋·释洪英）	阿家尝醋三赤喙，新妇洗面摸著鼻。道吾答话得腰裈，玄沙开书是白纸①。
偈三首（宋·释洪英）	青山重叠叠，绿水响潺潺。未到悬崖处，抬头子细看。
