同丁致远司户游东掖山（宋·李庚）　　七言绝句　押先韵	不见诗人老郑虔，谁知衣钵此中传。尚馀杰阁惊人句，更结今秋未了缘①。
题画扇（宋·李庚）　　七言绝句　押寒韵	睡起小楼春又残，半垂云袖傍栏干。杨花飞过鞦韆索，一阵东风作晓寒①。
题尤使君郡圃十二诗 参云亭（宋·李庚）	元公来把麾，与民脱水厄。当时游息地，危亭冠州宅。梁栋宿寒云，去天才一握。尚馀手种木，甘棠思邵伯①。
