死翁（宋·释师范）　　五言绝句　押虞韵	一惊涂毒鼓，脱尔丧全躯。谁信髑髅上，重生颔下须。
枯木（宋·释师范）　　五言绝句　押元韵	不入樵夫手，不登郢匠门。只么老丘壑，且无刀斧痕。
无际（宋·释师范）　　五言绝句	儱侗复儱侗，平夷更平夷。伸手不见掌，赵州东院西。
淈𣸩（宋·释师范）　　五言绝句　押庚韵	抓头忘痒处，弄物不知名。一个无分晓，千金买不成。
琴枕（宋·释师范）　　五言绝句　押侵韵	巧出焦桐样，淳含太古音。多因和梦听，只作夜虫吟。
跛翁（宋·释师范）　　五言绝句　押阳韵	平常行一步，却不堕平常。尽道脚长短，谁知脚短长。
无方刊字（宋·释师范）　　五言绝句　押支韵	道在贵亡羁，宁容滞一涯。是山皆有石，随处可镌碑。
天神二首 其一（宋·释师范）　　五言绝句　押麌韵	天下梅花主，扶桑文字祖。这个正法眼，云门答道普。
花光十梅 悬崖放下（宋·释师范）　　七言绝句　押真韵	万仞崖头自放身，始知花发不干春。更从个里寻枝叶，笑倒当年树下人。
花光十梅 绝后再苏（宋·释师范）　　七言绝句　押灰韵	孤根脱落偃苍苔，冷地无端笑眼开。莫怪雪霜欺不得，只因曾向死中来。
花光十梅 平地回春（宋·释师范）　　七言绝句	万木千花冻未醒，东君无处觅归程。抬眸忽见春风面，的皪枝头数点青。
花光十梅 淡中有味（宋·释师范）　　七言绝句　押东韵	半开半合荣枯外，似有似无闲淡中。自是一般风味别，笑他红紫斗芳丛。
花光十梅 一枝横出（宋·释师范）　　七言绝句　押麻韵	莫谓南枝能放花，傍分北秀亦堪誇。黄梅不用争高下，草本传来共一家。
花光十梅 五叶联芳（宋·释师范）　　七言绝句　押阳韵	花开五叶自芬芳，欺麝欺兰别是香。传得灵根元不朽，岂惟流落在花光。
花光十梅 正偏自在（宋·释师范）　　七言绝句　押先韵	花合花开有正偏，不完全处却完全。要知根蒂从何得，多见生埋洞水边。
花光十梅 高下随宜（宋·释师范）　　七言绝句　押阳韵	树有高低枝短长，花开随处恰相当。都缘妙得毫端趣，竖抹横拖总不妨。
花光十梅 幻花灭尽（宋·释师范）　　七言绝句　押寒韵	花分枝北与枝南，向背横斜有许般。何待支郎强描邈，开时便作谢时看。
花光十梅 实相常圆（宋·释师范）　　七言绝句　押真韵	黄底自黄青底青，枝头一一见天真。如今酸涩都忘了，核子如何举似人。
朝阳穿破衲（宋·释师范）　　七言绝句　押先韵	横片竖片胡乱搭，长针短针信意联。但见日头东畔出，不知尘世是何年。
对月了残经（宋·释师范）　　七言绝句　押支韵	入海算沙徒自疲，风前月下几攒眉。即今休去便休去，欲觅了时无了时。
