临安石（宋·元居中）　　五言绝句　押陌韵	人久众所憎，物久众所惜。为负磊落姿，不随寒暑易①。
上祖无择（宋·元居中）　　七言绝句　押真韵	洞蔽深云远俗尘，山中曾未识朱轮。自从白傅来游后，三百年间又一人①。
风水洞（宋·元居中）　　五言排律　押真韵	二洞标奇石①，连岩②葺宇新。凉生清桂晓，暖涨碧桃春。闲拥东方骑，来寻北陇人。破云拖蜡屐，琢句写霜③筠。谭剧频飞屑④，歌长益⑤落尘。为探琼巘胜，不记玉觞巡。下客惭长颖，高筵饮德醇。追随⑥到峰顶，疑化九霄身。
