閒中（宋·詹本）　　五言绝句	万事问不知，山中一樽酒。扫石坐松风，绿阴满巾袖。
春日携客游武夷（宋·詹本）　　押啸韵	山脚健枝梧，百里插苍峭。粼粼石可把，曙色坐远钓。风水真笙竽，历落太古调。衣冠带莽苍，山鬼惊二妙。云月正忘年，花鸟更索笑。回船翠凌乱，吾道付长啸。
宿天台（宋·詹本）　　押庚韵	风泉隔西屋，独夜寒自生。开窗失山色，白云压前楹。累尽得潇洒，去住俱不惊。鼻息答僧钟，霜露入残更①。
