圣人之孝十首 尧（宋·林同）　　五言绝句　押先韵	道原自天出，尧以是相传。曰孝悌而已，人人具此天。
贤者之孝二百四十首 契（宋·林同）　　五言绝句　押虞韵	天性生虽具，人伦教可无。往哉亲父子，汝契作司徒。
仙佛之孝十首 释迦（宋·林同）　　五言绝句　押支韵	入般涅槃际，拳拳报母知。从棺更涌出，为母说分离。
妇女之孝二十首 辟司徒妻（宋·林同）　　五言绝句　押虞韵	君父今安在，谆谆免矣乎。可怜齐女子，不问辟司徒。
夷狄之孝十首 东夷大连少连（宋·林同）　　五言绝句　押鱼韵	大连少连者，夫子笔之书。谁谓东夷子，而于丧善居。
禽兽昆虫之孝十首 乌（宋·林同）　　五言绝句　押侵韵	灵乌噪何许，反哺向中林。人可不如鸟，而无爱母心。
