题西湖酒家壁（宋·林外）　　七言绝句　押麻韵	药炉丹灶旧生涯，白云深处是吾家。江城恋酒不归去，老却碧桃无限花。
戏题滩傍驿壁（宋·林外）	千古传名黯淡滩，十船过此九船翻。惟有泉南林上舍，我自岸上走，你怎奈何我①。
洞仙歌（宋·林外）	飞梁压水，虹影澄清晓。橘里渔村半烟草。今来古往，物是人非，天地里，唯有江山不老。雨巾风帽。四海谁知我。一剑横空几番过。按玉龙、嘶未断，月冷波寒，归去也、林屋洞天无锁。认云屏烟障是吾庐，任满地苍苔，年年不扫。
