达磨赞 其一（宋·释可湘）　　五言绝句　押纸韵	万里见梁王，无风波浪起。不得一茎芦，几乎沉杀你。
示众（宋·释可湘）　　七言绝句　押齐韵	别传一脉涨曹溪，万法都来和不齐。叶落归根至今日，江南犹有鹧鸪啼。
石壁（宋·释可湘）　　七言绝句　押灰韵	喝不开兮凿不开，春风几度长莓苔。赵州拄杖虽粗粝，未必亲曾靠著来。
海南（宋·释可湘）　　七言绝句　押麻韵	大地山河滚浪花，丙丁童子眼眯𥊚。回头打得重溟透，赤脚波斯进象牙。
一山（宋·释可湘）　　七言绝句　押覃韵	万机俱罢口门缄，唤作如如落二三。拶得通身归峭壁，善财不到别峰参。
问庵（宋·释可湘）　　七言绝句　押麻韵	撞入柴门扣有么，赵州用打不防家。依前只把拳头竖，未必蒿汤当得茶。
雪岩（宋·释可湘）　　七言绝句　押微韵	片片不于他处落，当阳突出崄崖机。此时筑著聱禅客，卒急庞公未得归。
空谷（宋·释可湘）　　七言绝句	者畔才呼那畔应，万千樵子逐虚声。探寻直是无踪迹，只见青山青又青。
独山（宋·释可湘）　　七言绝句	雨洗风磨孤迥迥，树凋叶落峭巍巍。惟兹一事无兼带，泽广如何掩得伊。
枕肱轩（宋·释可湘）　　七言绝句　押支韵	全身放倒恣憨痴，肘臂分明曲向谁。更要梦中重说梦，我无木枕可来推。
渔浦接待（宋·释可湘）　　七言绝句　押先韵	吴山那畔越山前，有饭充饥有榻眠。到此纵能休歇去，帝乡犹隔一潮船。
谢送圆照和尚法衣（宋·释可湘）　　七言绝句　押微韵	迦叶师兄守底衣，四边将见逐云飞。雪峰知是吾家物，合掌低头捧取归。
送珙首座归温州（宋·释可湘）　　七言绝句	江月松风何处无，戒珠心印强名模。烦君归问老真觉，因甚阇梨气不除。
示禅客（宋·释可湘）　　七言绝句　押歌韵	启咨和尚意如何，一句相酬早事多。问未绝声犹一问，不知鹞子过新罗。
送證侍者归里（宋·释可湘）　　七言绝句　押寒韵	临老三回住雪山，无弦琴子逐时弹。夜来一曲最高韵，泻作西江十八滩。
送小师心印游方（宋·释可湘）　　七言绝句　押灰韵	自从落脚出娘胎，一印何曾打失来。满目春山春水绿，重重绵缝为谁开。
忙古参政造金塔盛舍利（宋·释可湘）　　七言绝句	撒下摩尼六七颗，涌高窣堵十三层。分明一点钧心现，岂是黄金炼得成。
寄神光末宗和尚（宋·释可湘）　　七言绝句　押元韵	万丈神光涤世昏，莫知谁信有乾坤。三山眼底多尊宿，那个来敲老观门。
寄秀峰乌石长老（宋·释可湘）　　七言绝句　押文韵	三年鱼雁杳相闻，闽浙虽分意不分。几度临风揩老眼，冷看乌石岭头云①。
出山相赞（宋·释可湘）	峭巍巍，孤迥迥。弃王宫，栖雪岭。分明冻得眼生星，幡然踏破千峰顶。
