杲禅师以岩头婆子话相问作偈以答（宋·释妙总）　　七言绝句　押阳韵	一叶扁舟泛渺落，呈桡舞棹别宫商。云山海月都抛却，嬴得庄周蝶梦长。
产难（宋·释妙总）　　押职韵	不迟一步，不疾一刻。明眼衲僧，如何会得。粉骨碎身未足酬，一句了然超百亿。
狗子无佛性（宋·释妙总）	铁壁银山，一箭穿过。潦倒赵州，口能招祸①。
偈（宋·释妙总）	日日是好日，佛法世法尽周毕。不须特地觅幽玄，祇管钵盂两度湿①。
