钓台（宋·石孝友）　　七言绝句　押尤韵	桐江波上一羊裘，钓得声名隘九州。天子曷尝遗故旧，先生不肯事王侯①。
水调歌头 送张左司（宋·石孝友）	君恩九鼎重，臣命一毫轻。出身事主，刚甚须作不平鸣。老却西山薇蕨，闲损南窗松菊，羞死汉公卿。豺狼敢横道，草木要知名。秋已素，人又去，若为情。长沙何在，风送呜咽暮潮声。举棹却寻归路，挥麈莫谈时事，得酒且频倾。一片古时月，千里伴君行。
宝鼎现 上元上江西刘枢密（宋·石孝友）	雪梅清瘦，月桂圆冷，天街新霁。想帝辇、三朝薄暮，催促烛龙开扇雉。正拜舞、捧玉卮为寿，花满香铺凤髓。罄禹穴、胥涛万顷，春入南山声里。鼎轴元老诗书帅。体宸衷、双奉亲意。勤色养、行春惜花，夜欢宴、瑶池衣彩戏。鼓淑气、遍湖山千里。惊破悭红涩翠。笑那个痴儿无赖。打得金鱼坠地。休念太守当年，曾手把青藜照字。对珠帘云栋，收拾太平歌舞辍。庆母爱、小宽王事。馀沥□肠，看不日、归步沙堤，又赞重华孝治。
眼儿媚（宋·石孝友）	何须著粉更施朱。元不在妆梳。寻常结束，珊珊环佩，短短裙襦。花羞柳妒空撩乱，冰雪做肌肤。而今便好，小名弄玉，小字琼奴。
临江仙（宋·石孝友）	一霎狂云惊雨过，月华恰到帘帷。槛前叠石翠参差。洞房相见处，灯火乍凉时。睡玉眠花愁夜短，匆匆共惜佳期。风梧不动酒醒迟。好同蝴蝶梦，飞上凤皇枝。
鹧鸪天（宋·石孝友）	收拾眉尖眼尾情。当筵相见便相亲。偷传翡翠歌中意，暗合鸳鸯梦里身。云态度，月精神。月流云散两无情。觉来一枕凄凉恨，不敢分明说向人。
卜算子（宋·石孝友）	人自蕊宫来，微步香云拥。小试樽前白雪歌，叶叶秋声动。一剪艳波横，两点愁山重。收拾眉尖眼尾情，作个鸳鸯梦。
卜算子 其四 孟抚干岁寒三友屏风（宋·石孝友）	冷蕊閟红香，瘦节攒苍玉。更著堂堂十八翁，取友三人足。惜此岁寒姿，移向屏山曲。纸帐熏炉结胜缘，故伴仙郎宿。
鹧鸪天 其一 旅中中秋（宋·石孝友）	露叶披残露颗传。明星著地月流天。不辞独赏穷今夜，应为相逢忆去年。辜窈窕，负蝉娟。谁知两处照孤眠。姮娥不怕离人怨，有甚心情独自圆。
鹧鸪天 其二 冬至上李漕（宋·石孝友）	万里羁孤困一箪。平头四十误儒冠。舜弦广播薰风暖，邹律潜消黍谷寒。楼谩倚，剑休弹。看君行复上金銮。凤池波里求馀润，蚖肆泥中岂久蟠。
洞仙歌（宋·石孝友）	芙蓉院宇，露下秋容瘦。龟鹤仙人献长寿。问蓬山别后，几度春归，归去晚，开得蟠桃厮勾。人间游戏好，鲸背风高，那更相将凤雏九。事苹蘩，工翰墨，才德兼全，人总道、古今稀有。尽从他、乌兔促年华，看绿鬓朱颜，镇长依旧。
渔家傲 其一 送李惠言、徐元集赴试南宫（宋·石孝友）	射虎将军搴绣帽。西园公子南山豹。共跨龙媒衔凤沼。风色好。宫花御柳迎人笑。剑履醒醒天日表。集英殿下春来早。双鹗盘空擎百鸟。归来了。蓝袍锦水光相照。
渔家傲 其二（宋·石孝友）	夜半潮声来枕上。击残梦破惊魂荡。见说钱塘雄气象。披衣望。碧波堆里排银浪。月影徘徊天滉漾。金戈铁马森相向。洗尽尘根磨业障。增豪放。从公笔力诗词壮。
念奴娇 其一 上洪帅王予道生辰正月十六日，用东坡韵（宋·石孝友）	半千宝运，瑞清朝、诞育人间英物。暖律吹灰春到也，迟日光腾东壁。婺女双溪，沈郎八咏，辉映皆冰雪。储精毓秀，几年一个人杰。须信和气随人，粉梅欺黛柳，娇春争发。翠幕重重称寿处，莲炬蕙烟明灭。鼎席犹虚，九重频念此，衮衣华发。明年今夜，凤池应醉花月。
念奴娇 其二（宋·石孝友）	闷红颦翠，惜流年、忍对艳阳时节。白玉楼成人去后，两地音尘都绝。鸾鉴分飞，梦云零乱，欢意今衰飒。墨痕红淡，忆曾题遍红叶。须信后约难凭，臂啮鬟剪，也只成虚说。满眼凄凉无限事，付与丁香愁结。欲语情酸，临岐步懒，怅望兰舟发。出门谁伴，泪昏一片孤月。
丑奴儿 次韵何文成灯下镜中桃花（宋·石孝友）	菱花镜里桃花笑，清影团团。月淡风寒。深夜移灯许细观。武陵溪上当时事，何处飞鸾。泪纸惊澜。飘尽红英不忍看。
念奴娇 其五 上德安王文甫生辰（宋·石孝友）　　押质韵	麦秋天气，正玉杓斡暑，熏弦鸣律。浴佛生朝初过也，还数佳辰三日。筮水呈祥，梦熊叶庆，宝运符千一。太平朝野，异人端为时出。须信家世蝉联，乃翁遗范在，子孙逢吉。雾隐巢云聊寄傲，行矣飞英腾实。瀑布泉清，炉峰气秀，光映霞觞溢。萱堂争看，彩衣红堕双橘。
鹧鸪天 庆徐元寿生子（宋·石孝友）	六十仙翁抱桂栽。果符吉梦诞英才。上天与降麒麟种。明月还生蚌蛤胎。华阁启，玳筵开。快呼玉手捧金罍。要知远地无功客，曾到高门作贺来。
醉落魄/一斛珠（宋·石孝友）	友莺梦蝶。寻花问柳深相结。教春去后群芳歇。零落朋游，辜负好时节。眼边愁绪多于发。迢迢一水通吴越。旧欢新恨都休说。坐暖残红，沈醉碧天阔。
踏莎行（宋·石孝友）	沈水销红，屏山掩素。锁窗醉枕惊眠处。芰荷香里散秋风，芭蕉叶上鸣秋雨。飞阁愁登，倚阑凝伫。孤鸿影没江天暮。行云懒寄好音来，断云暗逐斜阳去。
