山中作（宋·释惟政）　　五言绝句　押纸韵	桥上山万重，桥下水千里。惟有白鹭鸶，见我常来此①。
辞侍郎蒋公宴客见招（宋·释惟政）　　七言绝句　押支韵	昨日曾将今日期，出门倚杖又思惟。为僧只合居岩谷，国士筵中甚不宜。
自题像（宋·释惟政）　　七言绝句　押齐韵	貌古形疏倚杖藜，分明画出须菩提。解空不许离声色，似听孤猿月下啼。
送僧偈（宋·释惟政）　　押文韵	山中何所有，岭上多白云。祇可自怡悦，不堪持赠君①。
