题左溪齐云阁（宋·关咏）　　五言绝句　押药韵	白云来轩户，清风生涧壑。山僧不管春，岩花开自落①。
高峰（宋·关咏）　　七言绝句　押尤韵	独爱高峰最上头，夕阳烟树见严州。子陵贪向溪边钓，应未曾来此地游①。
迷仙引（宋·关咏）	春阴霁。岸柳参差，袅袅金丝细。画阁昼眠莺唤起。烟光媚。燕燕双高，引愁人如醉。慵缓步，眉敛金铺倚。嘉景易失，懊恼韶光改。花空委。忍厌厌地。施朱粉，临鸾鉴，腻香销减摧桃李。独自个凝睇。暮云暗、遥山翠。天色无情，四远低垂淡如水。离恨托、征鸿寄。旋娇波、暗落相思泪。妆如洗。向高楼、日日春风里。悔凭阑、芳草人千里。
