题出山相（宋·释祖珠）　　七言绝句　押删韵	半夜逾城往雪山，龙楼凤阁绝跻攀。如今辊出草窠里，一个闲人天地间。
偈三首（宋·释祖珠）	机前一句子，用处不留情。如撞幢子弩，箭箭中红心。
自赞（宋·释祖珠）　　押佳韵	月色照幽谷，泉声落断崖。水光山色里，一块烂枯柴①。
