清明（宋·史达祖）　　七言绝句　押寒韵	一百六朝花雨过，柳梢犹尔病春寒。晋官今日炊烟断，并著新晴看牡丹。
绮罗香 咏春雨（宋·史达祖）	做冷欺花，将烟困柳，千里偷催春暮。尽日冥迷，愁里欲飞还住。惊粉重、蝶宿西园，喜泥润、燕归南浦。最妨它，佳约风流，钿车不到杜陵路。沉沉江上望极，还被春潮晚急，难寻官渡。隐约遥峰，和泪谢娘眉妩。临断岸、新绿生时，是落红、带愁流处。记当日门掩梨花，剪灯深夜语。
双双燕 咏燕（宋·史达祖）	过春社了，度帘幕中间，去年尘冷。差池欲住，试入旧巢相并。还相雕梁藻井，又软语商量不定。飘然快拂花梢，翠尾分开红影。芳径，芹泥雨润，爱贴地争飞，竞夸轻俊。红楼归晚，看足柳暗花暝。应自栖香正稳，便忘了天涯芳信。愁损翠黛双蛾，日日画阑独凭。
阳春曲/阳春（宋·史达祖）	杏花烟，梨花月，谁与晕开春色。坊巷晓愔愔，东风断、旧火销处近寒食。少年踪迹。愁暗隔、水南山北。还是宝络雕鞍，被莺声、唤来香陌。记飞盖西园，寒犹凝结。惊醉耳、谁家夜笛。灯前重帘不挂，殢华裾、粉泪曾拭。如今故里信息。赖海燕、年时相识。奈芳草、正锁江南，梦春衫怨碧。
海棠春令/海棠春（宋·史达祖）	似红如白含芳意。锦宫外、烟轻雨细。燕子不知愁，惊堕黄昏泪。烛花偏在红帘底。想人怕、春寒正睡。梦著玉环娇，又被东风醉。
夜行船 正月十八日闻卖杏花有感（宋·史达祖）	不剪春衫愁意态。过收灯、有些寒在。小雨空帘，无人深巷，已早杏花先卖。白发潘郎宽沈带。怕看山、忆它眉黛。草色拖裙，烟光惹鬓，常记故园挑菜。
东风第一枝 其一 咏春雪（宋·史达祖）	巧沁兰心，偷黏草甲，东风欲障新暖。谩凝碧瓦难留，信知暮寒轻浅。行天入镜，做弄出、轻松纤软。料故园、不卷重帘，误了乍来双燕。青未了、柳回白眼。红欲断、杏开素面。旧游忆著山阴，厚盟遂妨上苑。寒炉重暖，便放慢春衫针线。恐凤靴、挑菜归来，万一灞桥相见。
东风第一枝 其二 壬戌闰腊望，雨中立癸亥春，与高宾王各赋（宋·史达祖）	草脚愁苏，花心梦醒，鞭香拂散牛土。旧歌空忆珠帘，彩笔倦题绣户。黏鸡贴燕，想立断、东风来处。暗惹起、一掬相思，乱若翠盘红缕。今夜觅、梦池秀句。明日动、探花芳绪。寄声沽酒人家，预约俊，游伴侣。怜它梅柳，乍忍俊、天街酥雨。待过了一月灯期，日日醉扶归去。
东风第一枝 其三 灯夕清坐或作“元夕”（宋·史达祖）	酒馆歌云，灯街舞绣，笑声喧似箫鼓。太平京国多欢，大酺绮罗几处。东风不动，照花影、一天春聚。耀翠光、金缕相交，苒苒细吹香雾。羞醉玉、少年丰度。怀艳雪、旧家伴侣。闭门明月关心，倚窗小梅索句。吟情欲断，念娇俊、知人无据。想袖寒、珠络藏香，夜久带愁归去。
喜迁莺（宋·史达祖）	月波疑滴。望玉壶天近，了无尘隔。翠眼圈花，冰丝织练，黄道宝光相直。自怜诗酒瘦，难应接、许多春色。最无赖，是随香趁烛，曾伴狂客。踪迹。谩记忆。老了杜郎，忍听东风笛。柳院灯疏，梅厅雪在，谁与细倾春碧。旧情拘未定，犹自学、当年游历。怕万一，误玉人、夜寒帘隙。
玉楼春 其一 社前一日（宋·史达祖）	游人等得春晴也。处处旗亭堪系马。雨前秾杏尚娉婷，风后残梅无顾藉。忌拈针线还逢社。斗草赢多裙欲卸。明朝双燕定归来，叮嘱重帘休放下。
万年欢 春思（宋·史达祖）	两袖梅风，谢桥边、岸痕犹带阴雪。过了匆匆灯市，草根青发。燕子春愁未醒，误几处、芳音辽绝。烟溪上、采绿人归，定应愁沁花骨。非干厚情易歇。奈燕台句老，难道离别。小径吹衣，曾记故里风物。多少惊心旧事，第一是、侵阶罗袜。如今但、柳发唏春，夜来和露梳月。
玉楼春 其二 赋梨花（宋·史达祖）	玉容寂寞谁为主。寒食心情愁几许。前身清澹似梅妆，遥夜依微留月住。香迷胡蝶飞时路。雪在秋千来往处。黄昏著了素衣裳，深闭重门听夜雨。
阮郎归 其一（宋·史达祖）	龙香吹袖白藤鞭。帽檐冲柳烟。一春几度画桥边。东风听管弦。花活计，酒因缘。从人嘲少年。真须吟就绿杨篇。湾头寄小怜。
阮郎归 其二 月下感事（宋·史达祖）	旧时明月旧时身。旧时梅萼新。旧时月底似梅人。梅春人不春。香入梦，粉成尘。情多多断魂。芙蓉孔雀夜温温。愁痕即泪痕。
忆瑶姬 骑省之悼也（宋·史达祖）	娇月笼烟，下楚领、香分两朵湘云。花房渐密时，弄杏笺初会，歌里殷勤。沈沈夜久西窗，屡隔兰灯幔影昏。自彩鸾、飞入芳巢，绣屏罗荐粉光新。十年未始轻分。念此飞花，可怜柔脆销春。空馀双泪眼，到旧家时郎谩染愁巾。袖止说道凌虚，一夜相思玉样人。但起来、梅发窗前，哽咽疑是君。
眼儿媚 其一 寄赠（宋·史达祖）	潘郎心老不成春。风味隔花尘。帘波浸笋，窗纱分柳，还过天津。近时无觅湘云处，不记是行人。楼高望远，应将秦镜，多照施颦。
南歌子（宋·史达祖）	采绿随双桨，看山藉一筇。关南桃树几番红。昨夜诗情频在、雨声中。花径无云隔，苔垣只梦通。旧欢一饷可过从。试觅鸳鸯新杏、简春风。
眼儿媚 其二 代答（宋·史达祖）	儿家七十二鸳鸯。珠佩锁瑶箱。期花等月，秦台吹玉，贾袖传香。十年白玉堂前见，直是剪柔肠。将愁去也，不成今世，终误王昌。
金盏子（宋·史达祖）	奖绿催红，仰一番膏雨，始张春色。未踏画桥烟，江南岸、应是草秾花密。尚忆溅裙苹溪，觉诗愁相觅。光风外，除是倩莺烦燕，谩通消息。梨花夜来白。相思梦、空阑一林月。深深柳枝巷陌，难重遇、弓弯两袖云碧。见说倦理秦筝，怯春葱无力。空遣恨，当时留秀句，苍苔蠹壁。
