宫词（宋·杨皇后）　　七言绝句　押东韵	瑞日曈眬散晓红，乾元万国佩丁东。紫宸北①使班才退，百辟同趋德寿宫。
题菊花册（宋·杨皇后）　　七言绝句　押先韵	莫惜朝来准酒钱，渊明身即是花仙。重阳满满杯中泛，一缕黄金是一年①。
句 其二（宋·杨皇后）　　押阳韵	线撚依依绿，金垂袅袅黄（题垂柳飞絮图）。
