梅（宋·严参）　　五言绝句　押真韵	何年流水恨，昨夜小桥春。纵有相逢地，都无可寄人。
看雪（宋·严参）　　五言绝句　押纸韵	天远正难穷，楼高不堪倚。醉梦入江南，杨花数千里①。
沁园春 其一 自适（宋·严参）　　押微韵	曰归去来，归去来兮，吾将安归。但有东篱菊，有西园桂，有南溪月，有北山薇。蜂则有房，鱼还有穴，蚁有楼台兽有依。吾应有、云中旧隐，竹里柴扉。人间征路熹微。看处处丹枫白露晞。况寒原衰草，牛羊来下，淡烟秋水，鲈鳜初肥。自笑平生，颓然骨相，只合持竿坐钓矶。都休也，对西风无语，落日斜晖。
沁园春 其二 题吴明仲竹坡（宋·严参）	竹焉美哉，爱竹者谁，曰君子欤。向佳山水处，筑宫一亩，好风烟里，种玉千馀。朝引轻霏，夕延凉月，此外尘埃一点无。须知道，有乐其乐者，吾爱吾庐。竹之清也何如。应料得诗人清矣乎。况满庭秀色，对拈彩笔，半窗凉影，伴读残书。休说龙吟，莫言凤啸，且道高标谁胜渠。君试看，正绕坡云气，似渭川图。
