石人（宋·沈瀛）　　七言绝句　押冬韵	检点行程岁岁同，石人头畔且从容。向来奉口溪边月，此夜乾元寺里钟①。
念奴娇（宋·沈瀛）	郊原浩荡，正夺目花光，动人春色。白下长干佳丽最，寒食嬉游人物。雾卷香轮，风嘶宝骑，云表歌声遏。归来灯火，不知斗柄西揭。六代当日繁华，幕天席地，醉拍江流窄。游女人人争唱道，缓缓踏青阡陌。乐事何穷，赏心无限，惟惜年光迫。须臾聚散，人生真信如客。
满江红 其一 九日登凌欹台（宋·沈瀛）	姑孰名邦，黄山畔、古台巍立。秋渐老、重阳天气，郊原澄碧。隐隐西州增远望，长江一带平如席。怅英雄、千古到如今，空遗迹。吴太守，文章伯。寻胜事，酬佳节。拥笙歌千骑，遍游南陌。襟带江城当一面，折冲千里无强敌。更行看、击楫溯中流，妖氛息。
满江红 其二（宋·沈瀛）	半世飘蓬，今何幸、得归乡曲。却还似、重来燕子，认巢新屋。好是秋晴风日美，饭香云子炊如玉。念蟹螯、满把欲黄时，笋新绿。仍更有，初开菊。何妨更，重添竹。与此君相对，且无荣辱。待得吾庐三径就，此生素愿都齐足。任三竿、红日上檐梢，眠方熟。
水调歌头 其一 和李守（宋·沈瀛）	潇洒云中鹤，容与水边鸥。缑山仙客，飘然曾约此中留。更有骑鲸公子，相与翱翔八极，凛凛气横秋。明月楼头宴，樽俎好诗流。思往事，增逸兴，唤仙舟。谁能拘束，尘埃堆里蹙昏眸。拟附星槎直上，十二玉京绛阙，高处且嬉游。回首视人世，天地一沙舟。
水调歌头 其二（宋·沈瀛）　　押尤韵	岁月如奔箭，屈指又中秋。去年江上行役，常动故乡愁。容与碧云亭畔，极目江山千里，隐隐是西州。日暮天容敛，鸥雁下汀洲。回故棹，寻旧里，解客裘。功名前定，时到安得为淹留。幸有青编万轴，且又日长无事，莫恁做闲忧。花下常携酒，明月好登楼。
满庭芳 其一 立春生日（宋·沈瀛）	画戟霜匀，谯门风动，满城和气氤氲。一年好事，今朝属东君。歌管欢迎五马，金章烂、华毂朱轮。班春了，归来燕寝，香重烛花轻。盈盈。春酒暖，金幡彩胜，霞袂云旌。算重重佳庆，都聚今辰。且听雪儿歌罢，称寿处、兰玉诜诜。新春暖，貂蝉象服，同日感皇恩。
满庭芳 其二（宋·沈瀛）	春锁琼台，花藏瑶圃，彩云片片来归。任城仙子，玉笈镇长移。时会三元金母，云璈奏、天上佳期。嬉游处，飘然侍女，玉佩紫霞衣。芙蓉帔欲去，鸾音鹤驭，洞府应迷。向人间挥手，留语人知。此去何须怅望，蓬莱水、弹指依稀。还知否，刘安未老，仙籍有津涯。
西江月（宋·沈瀛）	五马人生最贵，金陵自古繁华。光悬相印拥朱牙。况值边庭闲暇。满劝东西碧玉，高烧丽烛红葩。诏黄新湿字如鸦。明日天庭飞下。
朝中措 其一 生日生双竹（宋·沈瀛）	论兵齿颊带霜寒。清似碧琅玕。好是天然风韵，琳宫瑶馆清闲。华筵初启，小蛮二八，对影朱颜。便好添筹索笑，双枝原应双鬟。
柳梢青（宋·沈瀛）	相逢今夕。故人相见，先谈踪迹。旧日书生，而今村叟，新来禅客。跳过世界三千，特特地、人间九百。自在狂歌，□□□□，一场杂剧。
朝中措 其二（宋·沈瀛）	东风吹上小桃枝。春色拥旌麾。昨夜三台星见，分明直照姑溪。皇都禁阙，天颜遥想，应待公归。此去再登黄阁，火城光映沙堤。
醉落魄/一斛珠（宋·沈瀛）	野庵鼓吹。翻腾似与寻常异。笙箫筝笛皆非是。今日头场，看取些儿戏。心中无事无萦系。村歌数首新来制。参禅渐渐知滋味。细语粗言，俱是第一义。
如梦令（宋·沈瀛）	才听笛声三弄。关捩一时都动。收拾去来休，三脚驴儿相送。珍重。珍重。归去好生做梦。
行香子（宋·沈瀛）	野叟愚痴。一向昏迷。笑呵呵、前事皆非。从前业债，今尽拼离。也不能文，不能酒，不能诗。屏除人事，闭却门儿。于其中、别有儿戏。几般骨董，衮过年时。待参些禅，弹些曲，学些棋。
浣溪沙 雨中荷花（宋·沈瀛）	雨点真珠水上鸣。更将青盖一时倾。总是江妃来堕珥，访娉婷。不为含愁啼粉泪，只因贪爱湿行云。惟有游鱼偏得意，许成群。
卜算子（宋·沈瀛）	睡觉五更钟，正好深提省。只看如今梦几般，觉后原无影。明暗若从来，且道来从甚。不是空生不是根，认取真如性。
画堂春 风中荷花（宋·沈瀛）	荷花含笑调薰风。两情著意尤浓。水精栏槛四玲珑。照见妆容。醉里偷开盏面，晓来暗坼香风。不知何事苦匆匆。飘落残红。
捣练子 存神词（宋·沈瀛）	神欲出，便收来。神返心中气自回。换丹元，朝玉台。时运水，日搬柴。寸田一点是根荄。这交梨，常种栽。
减字木兰花（宋·沈瀛）	乘流坎止。住个斋儿无愠喜。竹引清风。透入虚窗窍窍通。仰天酌酒。万八千年磐古寿。身在无何。只这斋儿已自多。
