金精山（宋·曾兴宗）　　七言绝句　押真韵	投老筼筜幸卜邻，蜗蝇更不累闲身。烟霞已作仙凡隔，洞户蟠桃不计春。
筼筜谷（宋·曾兴宗）　　押尤韵	渭川千亩竹，可比万户侯。我有筼筜谷，此岂为食谋。南山与北山，清绝真胜游。飞泉助萧爽，怪石添清幽。娱亲自足乐，捧檄良可羞。日从抱节君，崎岖经林丘。有酒对尔酌，得句为尔讴。共结岁寒心，肯学炎凉俦。笑指亲密友，不独王子猷①。
水竹幽居堂（宋·曾兴宗）	山深景最幽，正为幽人设。获此一段奇，天意亦特达。水清濯吾缨，竹劲抱高节。凿池为延客，筑室相娱悦。故人来清风，莫逆友明月。雅与仙境连，迥隔红尘绝。此乐只自知，切勿与人说（同上书卷五）。
