黄龙洞（宋·林同叔）　　七言绝句	黄龙一洞与天通，仰视星辰目睫中。人去坛虚今已矣，祇留手植七株松。
七星坛（宋·林同叔）　　七言绝句　押鱼韵	十年客梦忆南徐，玉案曾看绿篆书。今日星坛香一瓣，恍如身再到冲虚。
九眼井（宋·林同叔）　　七言绝句　押尤韵	幽人凿井住罗浮，暇日吾伊兴自由。仙鸟避吟来照影，九龙飞动碧云秋。
莫道人（宋·林同叔）　　七言绝句　押元韵	万古烟霞隐石门，洞中别是一乾坤。仙翁自不知年岁，山下于今几代孙①。
