游岳（宋·罗道成）　　七言绝句　押尤韵	因思灵秀偶来游，碧玉寒堆万叠秋。直上太山高处望，根盘连接十馀州。
自和（宋·罗道成）　　七言绝句　押尤韵	水云踪迹自閒游，夏谷阴寒冷胜秋。猿鸟性情犹恋旧，翻身却去①海边州。
投郭主簿（宋·罗道成）　　七言绝句　押陌韵	白骡代步若奔云，闲人所至留诗迹。欲知名姓问源流，请看郴阳山下石①。
