植竹吏隐堂后因题（宋·许安仁）　　七言绝句　押灰韵	斸破中庭一亩苔，主人发白手亲栽。即今谁识清真节，须向三冬雪后来。
和御制宫词（宋·许安仁）　　七言绝句　押歌韵	轻寒惨惨透衾罗，玉箭铜①壶漏水多。常是未明供御服，梦回频问夜如何。
题善山院（宋·许安仁）　　七言绝句　押先韵	瓦炉柏子袅残烟，午梦醒时一畅然。不悟功名负终老，荒山饥走又三年①。
梦中作（宋·许安仁）	山色浓如滴，湖光平如席。风月不相识，相逢便相得①。
