颂古（宋·释可封）　　押灰韵	扫地泼水相公来，最好三门八字开。祇恐玉堂便归去，未容莲社久追陪。
偈二首（宋·释可封）	天左旋，地右转，过眼光阴人不荐。春已过，夏初临，尘劫来事在而今。今日事，来日事，历劫明明即这是。是则是，非又非，莫将鹤唳作莺啼。
颂古三首（宋·释可封）　　押马韵	阿魏无真，水银无假。老倒南泉，可知礼也①。
