山居（宋·妙普庵主）　　七言绝句　押真韵	心法双忘犹隔妄，色尘不二尚馀尘。百鸟不来春又过，不知谁是住庵人。
警众三首（宋·妙普庵主）　　七言绝句	学道犹如守禁城，昼防六贼夜惺惺。中军主将能行令，不动干戈致太平。
偈三首（宋·妙普庵主）　　押翰韵	劫数既遭离乱，我是快泎烈汉。如今正好乘时，便请一刀两段。
