赠李端履（宋·马光祖）　　七言绝句　押真韵	太守忧民只寸心，按行安得百其身。烦君为我家家问，要使重崖处处春。
迎享送神（宋·马光祖）	长江兮淙淙，踞虎兮蟠龙。秀群英兮礼乐，览千古兮焉穷。蹇谁留兮青溪，穆将愉兮寿宫。思至德兮肇苍姬，避圣嗣兮兴句吴。竟长干兮游五湖，烨客星兮隐东庐。坐根石兮定吴都，怀仲父兮秦淮隅。燎赤壁兮伟北图，忆尚书兮西明居。孝感兮冰鱼，鹿苑兮儒书。起乌衣兮见夷吾，运百甓兮恢宏模。忠孝兮父子，将相兮叔侄。登冶城兮想高世，酌贪泉兮徒西壁。兴文兮雷刘，著书兮陶萧。大节兮霜凛凛，谪仙兮风飘飘。云龙上下兮东野，桃花流水兮致尧。肆荥阳兮忠愤，相先民兮迢迢。天昌宋兮将有曹，平江南兮斧不膏。德乖崖兮桑本袤，美中丞兮蓉幕高。神明兮待制，忠恕兮肤使。春风兮寿元气，图绘兮回天意。出师门兮道与南，建留都兮垂万世。仗征钺兮江无波，死封疆兮人知义。采石兮功之奇，紫阳兮道之继。佐乃翁兮南轩，开厥后兮壹是。泽斯民兮西山，俨元凯兮是似。庀管钥兮北门，思尚友兮古人。建芳馨兮堂庑，合荃芷兮盈庭。袅秋风兮桂枝，缭荷屋兮杜衡。荐菊兮寒泉，采藻兮落成。浴兰汤兮沐华，望美人兮并迎。芳菲菲兮满堂，灵之来兮如云。聊逍遥兮容与，集琳琅兮锵鸣。吉日兮辰良，蕙蒸兮椒浆。元勋兮钜德，日月兮齐光。介民兮景福，昭昭兮未央。高山兮景行，千秋兮难忘①。
减字木兰花（宋·马光祖）	多情多爱。还了平生花柳债。好个檀郎。室女为妻也不妨。杰才高作。聊赠青蚨三百索。烛影摇红。记取媒人是马公。
