偈十二首（宋·释本才）　　押先韵	上封一句，海墨难诠。墙壁瓦砾，昼夜流传。若住听瑩，鹞子冲天。
颂古二首 达磨见梁武帝。（宋·释本才）　　押阳韵	远泛鲸波入大梁，廓然无圣对君王。可怜径寸无人鉴，却与相如依旧藏。
偈二首（宋·释本才）	达磨未来，怀藏至宝，顶髻有珠。达磨既来，卞和刖足，杨朱途穷。拟议之间，知君罔措。
颂古二首 风幡。（宋·释本才）　　押微韵	指出风幡俱不是，直言心动亦还非。夜来一片曹溪月，却照侬家旧翠微。
偈二首（宋·释本才）　　押屑韵	彻，彻，大海乾枯，虚空迸裂。四方八面绝遮拦，万象森罗齐漏泄。
