道中闻九里香花（宋·王以宁）　　七言绝句　押阳韵	不见江梅三百日，声断紫箫愁梦长。何许绿裙红帔客，御风来献返魂香①。
水调歌头 其一 裴公亭怀古（宋·王以宁）	岁晚橘洲上，老叶舞愁红。西山光翠，依旧影落酒杯中。人在子亭高处，下望长沙城郭，猎猎酒帘风。远水湛寒碧，独钓绿蓑翁。怀往事，追昨梦，转头空。孙郎前日，豪健颐指五都雄。起拥奇才剑客，十万银戈赤帻，歌鼓壮军容。何似裴相国，谈道老圭峰。
水调歌头 其二 呈汉阳使君（宋·王以宁）	大别我知友，突兀起西州。十年重见，依旧秀色照清眸。常记鲒埼狂客，邀我登楼雪霁，杖策拥羊裘。山吐月千仞，残夜水明楼。黄粱梦，未觉枕，几经秋。与君邂逅，相逐飞步碧山头。举酒一觞今古，叹息英雄骨冷，清泪不能收。鹦鹉更谁赋，遗恨满芳洲。
满庭芳 其一（宋·王以宁）　　押麻韵	山耸方壶，潮通碧海，江东自昔名家。玉真仙子，珰佩粲朝霞。一种天香胜味，笑杨梅、不数枇杷。难模写，牟尼妙质，光透紫丹砂。咨嗟。如此辈，不知何为，留滞天涯。料甘心远引，无意纷华。一任姚黄魏紫，供吟赏、银烛笼纱。南游士，日餐千颗，不愿九霞车。
满庭芳 其二 邓州席上（宋·王以宁）	千古南阳，刘郎乡国，依约楚俗秦风。英姿豪气，耆旧笑谈中。珰佩来从帝所，许洲花、潭菊从容。霜秋晓，凉生日观，极目送飞鸿。主公。天下士，挥毫万字，一饮千钟。醉高歌起舞，唤醒人龙。我自人间漫浪，平生事、南北西东。辞公去，寒眸激电，曾识小安丰。
满庭芳 其三 陈觉叟雪中见过（宋·王以宁）	五十七年，侵寻老矣，小庵初筑林坰。故人相过，喜雪舞祥霙。遍野跳珠溅玉，纵儿童、收满金瓶。明年待，洗光银海，袖手看升平。先生。齐物久，蚁丘罢战，蜗角休征。趁尊前身健，有酒须倾。随分村歌社舞，何须问、武宿文星。忘怀矣，未能忘酒，相与醉忘形。
满庭芳 其四 重午登霞楼（宋·王以宁）　　押豪韵	千古黄州，雪堂奇胜，名与赤壁齐高。竹楼千字，笔势压江涛。笑问江头皓月，应曾照、今古英豪。菖蒲酒，窊尊无恙，聊共访临皋。陶陶。谁晤对，粲花吐论，宫锦纫袍。借银涛雪浪，一洗尘劳。好在江山如画，人易老、双鬓难薅。升平代，凭高望远，当赋反离骚。
蓦山溪 其一 如虞彦恭寄钱逊叔（宋·王以宁）	平山堂上，侧盏歌南浦。醉望五州山，渺千里、银涛东注。钱郎英远，满腹贮精神，窥素壁，墨栖鸦，历历题诗处。风裘雪帽，踏遍荆湘路。回首古扬州，沁天外、残霞一缕。德星光次，何日照长沙，渔夫曲，竹枝词，万古歌来暮。
蓦山溪 其二 游南山（宋·王以宁）	雕弓绣帽。戏马秦淮道。风入马蹄轻，曾踏遍、淮堤芳草。飞英点点，春事已阑珊，风雨横，别离多，断送英雄老。功名终在，休惜芳尊倒。谈笑下燕云，看千里、风驱电扫。男儿此事，莫待鬓丝棼，汉都护，万年觞，玉殿春风早。
念奴娇 其一 淮上雪（宋·王以宁）	天工何意，碎琼珰玉佩，书空千尺。箬笠蓑衫扁舟下，淮口烟林如织。飞观嶙峋，子亭突兀，影浸澄淮碧。纶巾鹤氅，是谁独笑携策。遥想易水燕山，有人方醉赏，六花如席。云重天低酣歌罢，胆壮乾坤犹窄。射雉归来，铁鳞十万，踏碎千山白。紫箫声断，唤回春满南陌。
念奴娇 其二（宋·王以宁）	云收天碧。渐风高露冷，群喧初寂。远浦归舟荒渡口，搴篷横棹堤侧。一带澄江，十分蟾影，千里寒光白。襟怀迎爽，有人独步携策。遥想帘卷琼楼，凭阑凝望，此意知何极。声断秦箫双凤驾，凌厉飞仙同籍。问汉乘槎，采珠临海，往事空踪迹。莫辞吟赏，终宵清景难得。
