句（宋·释定光）　　押支韵	一峰狮子吼，十二子相随（十二峰偈）。
金乳池偈（宋·释定光）　　押元韵	山矿生金乳，地官辟关门。石矿水直出，供养天心尊。
龙潭偈（宋·释定光）　　押尤韵	天风毗地势，地水转势头。沙石立来堆，水心主巨州。
南安岩偈（宋·释定光）　　押灰韵	八龙归顺起峰端，虎啸岩前左右回。好与子孙兴徒众，他时须降御书来。
