诗三首 其二（宋·释遇贤）　　五言绝句　押真韵	心閒增道气，忍事敌灾屯。谨言终少祸，节俭胜求人。
诗三首 其一（宋·释遇贤）　　七言绝句　押麻韵	门前绿树无啼鸟，庭下苍苔有落花。聊与东君论个事，十分春色属谁家。
诗一首（宋·释遇贤）　　七言绝句　押侵韵	扬子江头浪最深，行人到此尽沉吟。他时若向无波处，还似有波时用心①。
