跋游本兰亭序（宋·李大异）　　七言绝句　押支韵	真伪纷纷甚得知，风流千古一羲之。山阴胜概今何在，却有人传定武碑①。
欣欣亭（宋·李大异）　　七言绝句　押真韵	门外青山收暮雨，林间归路出行人。鹧鸪劝我早归去，拟斫钓筒收紫筠。
曾兄惠然见临笃叙世契示以先哲遗墨稽首敬观因题其后（宋·李大异）　　七言绝句　押阳韵	家传文献六经香，袖有骊珠日月光。乔木阴阴人已远，祇应故笏是甘棠①。
