古乐府（宋·龚况）　　五言绝句　押祃韵	妖娆破瓜女，争上秋千架。香飘石榴裙，影落蔷薇下。
咏刘伶（宋·龚况）　　七言绝句　押豪韵	逃名以酒转名高，醉里张髯骂二豪。日月已为吾户牖，何妨东海作醇醪。
九日（宋·龚况）　　七言绝句　押虞韵	家家高会锦模糊，谁信贫家菊也无。多谢东邻送醅至，旋于篱畔觅茱萸。
游天峰寺（宋·龚况）　　七言绝句　押真韵	杖藜高踏半山云，不见此岗知几春。异时人物凋零尽，只有青山似故人。
午歇惠安寺（宋·龚况）　　七言绝句　押先韵	寒食都来数日闲，颜卿家帖到今传。此公刚鲠无情煞，到得春时也自怜。
送唐大监（宋·龚况）　　七言绝句　押东韵	东山相别又相逢，转觉衰颓一老翁。子约重来我方去，满庭黄叶正秋风。
句（宋·龚况）　　押虞韵	贪山借船赏，嗜酒典琴沽。
