合欢诗（宋·杨方）　　五言绝句	尔根深且固，余根浅且洿。移植艮无期，叹息将何如①。
淳熙辛丑自武宁丞摄靖安作（宋·杨方）　　七言绝句　押元韵	毛竹山头云雨昏，靖安桥下小溪浑。高陂约水归田急，不管湍声入县门。
古梅（宋·杨方）　　七言绝句　押麻韵	尚有黄梅一树斜，几年叉柱惜繁花。新诗连壁皆惆怅，想见当时北客家①。
送张振古二首（宋·杨方）　　七言绝句　押文韵	积刚自许挟浮云，拂拭平生欲佩君。匣古年侵春晕涩，忍随人课割铅勋。
