钟山（宋·王雱）　　七言绝句　押歌韵	当年睥睨此山阿，欲著红楼贮绮罗。今日重来无一事，却骑羸马下坡陀①。
绝句（宋·王雱）　　七言绝句　押先韵	一双燕子语帘前，病客无憀尽日眠。开遍杏花人不见，满庭轻雨绿如烟。
诗一首（宋·王雱）　　七言绝句　押支韵	杜家园上好花时，尚有梅花三两枝。日暮欲归岩下宿，为贪香雪故来迟①。
度关山（宋·王雱）　　押屑韵	万马度关山，关山三尺雪。马尽雪亦乾，沙飞石更裂。归来三五骑，旌旗映雪灭。不见去时人，空流碛中血。
春怀（宋·王雱）　　押尤韵	朝日上屋角，百鸟鸣不休。岂复辨名字，但闻闹钩辀。乱我读书语，惊我梦寐游。弯弓弹使去，暂去还啾啾。弹十不得一，穷时来愈稠。投弓坐榻上，咄咄空自尤。时节使汝鸣，我何为汝雠。
翠云山（宋·王雱）	寺古无邻家，千山抱虚碧。门开猿鸟路，殿锁烟霞积。老木森回溪，飞湍自淙激。曾无车马到，绝境閒今昔。逍遥贤大夫，肯此携佳客。鸣驺清晓来，归时日常昃。不使讼庭空，谁能傲泉石①。
倦寻芳慢/倦寻芳 中吕宫（宋·王雱）	露晞向晚，帘幕风轻，小院闲昼。翠径莺来，惊下乱红铺绣。倚危墙，登高榭，海棠经雨胭脂透。算韶华，又因循过了，清明时候。倦游燕、风光满目，好景良辰，谁共携手。恨被榆钱，买断两眉长斗。忆高阳，人散后。落花流水仍依旧。这情怀，对东风、尽成消瘦。
句（宋·王雱）　　押缉韵	君心莫厌频欢乐，请看云间日西入（白苧行）。
