采药径（宋·朱元升）　　五言绝句	黄精与钩吻，貌同性相反。寄诗径中人，采时高著眼。
晓云峰（宋·朱元升）　　五言绝句　押遇韵	旱天无觅处，晓云此无数。只消一缕飞，亦可作甘露。
月牖（宋·朱元升）　　五言绝句　押啸韵	谁将造化手，开此混沌窍。每夜吐月时，九州同一照。
天马峰（宋·朱元升）　　五言绝句　押马韵	塞上风尘高，处处寻天马。只在此山中，无人到图写。
龙角岩（宋·朱元升）　　五言绝句　押养韵	本是一顽石，偶如龙角象。至今渴仰人，便作风雷想。
天聪洞（宋·朱元升）　　五言绝句　押东韵	云开岩玲珑，一窍入虚空。亦有闾阎事，何当叩上穹。
应潮潭（宋·朱元升）　　五言绝句　押东韵	群山虽叠嶂，大海暗来通。气类倘相应，寸心千里同①。
龙隐岩（宋·朱元升）　　押语韵	岩根岚雾深，神龙隐其所。莫恃云霄近，容易兴云雨。
