梅花（宋·赵师侠）　　五言绝句　押真韵	南山有佳人，迥立未可亲。而况得道者，其间梅子真①。
游阳华岩（宋·赵师侠）　　七言绝句　押麻韵	出郭曾无十里赊，仙岩迎日号阳华。云藏奥穾岚光润，信美元郎咏可家。
万年欢（宋·赵师侠）	电绕神枢，华渚流虹，诞弥良用佳辰。万宇讴歌归舞，宝历增新。四七年间盛事，皇威畅、边鄙无尘。仁恩被，华夏咸安，太平极治欢声。重华道隆德茂，亘古今希有，揖逊重闻。圣子三宫欢聚，两世慈亲。幸际千秋圣旦，沾镐宴、普率惟均。封人祝，亿万斯年，寿皇尊并高真。
扑蝴蝶（宋·赵师侠）	清和时候，薰风来小院。琅玕脱箨，方塘荷翠飐。柳丝轻度流莺，画栋低飞乳燕。园林绿阴初遍。景何限。轻纱细葛，纶巾和羽扇。披襟散发，心清尘不染。一杯洗涤无馀，万事消磨去远。浮名薄利休羡。
水调歌头 其一 龙帅宴王公明（宋·赵师侠）　　押麻韵	金鼎调元手，玉殿涣恩华。宣威蜀道，曾见千骑拥高牙。凭仗元枢筹略，宽我宸旒西顾，惠泽被幽遐。为忆江城好，南浦舣仙槎。格天心，膺帝眷，极褒嘉。琳宫香火缘在，还近玉皇家。霖雨久思贤佐，看即声传丹禁，唤仗听宣麻。衮绣公归去，宰路筑堤沙。
水调歌头 其二 春野亭送别（宋·赵师侠）　　押尤韵	江亭送行客，肠断木兰舟。水高风快，满目烟树织成愁。咿轧数声柔橹，拍塞一怀离恨，指顾隔汀洲。独立苍茫外，欲去强迟留。海山长，云水阔，思难收。小亭深院歌笑，不忍记同游。唯有当时明月，千里有情还共，后会尚悠悠。此恨无重数，和泪付东流。
水调歌头 其三 癸卯信丰送春（宋·赵师侠）	韶华能几许，节物叹推移。群花竞芳争艳，无奈隙驹驰。红紫随风何处，唯有抟枝新绿，暗逐雨催肥。乔木莺初啭，深院燕交飞。渐清和，微扇暑，日迟迟。新荷泛水摇漾，萍藻弄晴漪。百岁光阴难挽，一笑欢娱易失，莫惜酒盈卮。无计留连住，还是送春归。
水调歌头 其四 万载烟雨观（宋·赵师侠）	江流清浅外，山色有无中。平田坡岸回曲，一目望难穷。波面轻鸥容与，沙际野航横渡，不信画图工。路入神仙宅，翠锁梵王宫。俯晴郊，增胜概，气横空。云林城市层列，知有几重重。更上危亭高几，徙倚栏干虚敞，象纬逼璇穹。要尽无边景，烟雨看空濛。
水调歌头 其五 戊申春陵用旧韵赋二词呈族守德远（宋·赵师侠）	人生如寄耳，世态逐时移。浮名薄利能几，方寸漫交驰。粗足生涯随分，到眼风光可乐，终不羡轻肥。有志但长叹，无路且卑飞。恨年华，何去速，又来迟。绿荫浓映池沼，縠浪皱风漪。啭午莺声睍睆，滚地杨花飘荡，爱景惜芳卮。此意谁能解，一笑任春归。
水调歌头 其六（宋·赵师侠）	心景两无著，情物岂能移。超然远览失笑，名利苦纷驰。一品官资荣显，百万金珠豪富，空自喜家肥。会得个中理，川泳与云飞。静中乐，闲中趣，自舒迟。心如止水，无风无自更生漪。已是都忘人我，一任吾身醒醉，有酒引连卮。万法无差别，融解即同归。
水调歌头 其七 和石林韵（宋·赵师侠）　　押阳韵	世态万纷变，人事一何忙。胸中素韬奇蕴，匣剑岂能藏。不向燕然纪绩，便与渔樵争席，摆脱是非乡。要地时难得，闲处日偏长。志横秋，谋夺众，谩轩昂。蝇头蜗角微利，争较一毫芒。幸有乔林修竹，随分粗衣粝食，何必计冠裳。我已乐萧散，谁与共平章。
水调歌头 其八 丁已长沙寿王枢使（宋·赵师侠）　　押阳韵	台星明翼轸，和气满潇湘。长淮胜处地灵，应产股肱良。共仰三朝元老，要识一时英杰，人物自堂堂。直气薄霄汉，德望耸岩廊。拥貔貅，森棨戟，镇藩方。折冲樽俎，春融花柳侑壶觞。两世麟符玉节，九郡恩风惠雨，仁者寿宜长。凤诏来丹阙，绣衮觐明光。
满江红 其一 甲午豫章和李思永（宋·赵师侠）	渺渺春江，迷望眼、蒲萄涨绿。春过也、萧疏庭户，寂寥心目。念远不禁啼鴂闹，愁多易遣修蛾蹙。向小窗、时把彩笺看，翻新曲。晴昼永，便新浴。相思泪，不成哭。空无言憔悴，暗销肌玉。目断碧云无信息，试凭青翼飞南北。听掀帘、疑是故人来，风敲竹。
满江红 其二 辛丑赴信丰，舟行赣石中（宋·赵师侠）	烟浪连天，寒尚峭、空濛细雨。春去也、红销芳径，绿肥江树。山色云笼迷远近，滩声水满忘艰阻。挂片帆、掠岸晚风轻，停烟渚。浮世事，皆如许。名利役，惊时序。叹清明寒食，小舟为旅。露宿风餐安所赋，石泉榴火知何处。动归心、犹赖翠烟中，无杜宇。
满江红 其三 壬子秋社莆中赋桃花（宋·赵师侠）	露冷天高，秋气爽、千林叶落。惊初见、小桃枝上，盛开红萼。浅淡胭脂经雨洗，剪裁玛瑙如云薄。问素商、何事斗春工，施丹艧。芙蓉苑，颜如灼。曾暗与，花王约。要乘秋名字，并传京洛。回首瑶池高宴处，桂花香里骖高鹤。但莫教、容易逐西风，轻飘却。
满江红 其四 丙辰中秋定王台即席饯富次律（宋·赵师侠）	凉入三湘，秋气爽、江澄沙白。人欲去、离愁黯黯，莫留行色。盍在中朝陪鹓鹭，暂来南楚分风月。与元枢、鹗荐共扶摇，朝天阙。皇华使，和戎策。西府赞，中兴业。有缁衣同美，武公勋烈。樯燕已知添别意，骊驹谁为歌新阕。恨此情、如月过中秋，圆还缺。
满江红 其五 丁巳和济时几宜送春（宋·赵师侠）	去去春光，留不住、情怀索莫。那堪是、日长人困，雨馀寒薄。叶底青青梅胜豆，枝头颗颗花留萼。叹流年、空有惜春心，凭春酌。歌共酒，谁酬酢。非与是，忘今昨。且随时随分，强欢寻乐。世事燕鸿南北去，人生乌兔东西落。问故园、不负送春期，明年约。
沁园春 和伍子严避暑二首 其一（宋·赵师侠）	雨接梅霖，风祛槐暑，麦天已秋。正榴燃红炬，枝头色艳，荷翻绿盖，池面香浮。心景俱清，身名何有，且向忙中早转头。尘劳事，枉朝思夕计，细虑深谋。悠悠。不复徼求。但安分、随缘休便休。纵官居极品，徒为美玩，家称钜富，未免闲愁。遇酒开颜，逢欢乐意，有似木人骑土牛。从他笑，看一朝解悟，八极遨游。
沁园春 其二（宋·赵师侠）	羊角飘尘，金乌烁石，雨凉念秋。有虚堂临水，披襟散发，纱幮雾卷，湘簟波浮。远列云峰，近参荷气，卧看文书琴枕头。蝉声寂，向庄周梦里，栩栩无谋。茶瓯。醒困堪求。粗饱饭安居可以休。算悠闲静胜，吾能自乐，荣华纷扰，人谩多愁。习懒非痴，觉迷是病，一力那能胜九牛。俱休问，且追寻觞咏，知友从游。
酹江月 其一 题赵文炳枕屏（宋·赵师侠）	枕山平远。记当年小阁，牙床曾展。围幅高深春昼永，寂寂重帘不卷。棹舣西湖，人归南陌，酒晕红生脸。困来无那，玉肌小倚娇软。堪恨身在天涯，曲屏环枕，此意何由见。想像高唐无梦到，独拥闲衾展转。物是人非，山长水阔，触处思量遍。愁遮不断，夜阑依旧斜掩。
