给孤长者（宋·释云）　　七言绝句　押虞韵	远迓瞿昙至给孤，伫聆有法为开敷。早知是法应须舍，好请乘时出帝都。
送幽岩滋上人出岭（宋·释云）　　七言绝句　押元韵	诸方无说汝无闻，闻说俱无莫倒跟。才起丝毫奇特想，依前似不出雷门①。
云门大师（宋·释云）	中毒睦州，伸冤雪峤。拔本无门，剜空作窍。有折脚殃，乃破家兆。万福曾郎，容此不肖。
偈颂二十九首（宋·释云）　　押药韵	丹霞烧木佛，院主眉须落。官里有明条，许人私结约。傝𨑈杜禅和，识情争卜度。休卜度，万里辽天飞一鹗①。
颂古（宋·释云）	大隐居廛，小隐居山。各得其所，随分安閒。何必更来论出入，人生在处有馀欢。
颂古八首（宋·释云）　　押先韵	一片银蟾挂碧天，清光冷照凤楼前。九重玉户深深闭，争见扶疏桂影圆。
颂古（宋·释云）	狗子无佛性，泥捏活大圣。不是泗州人，说著也不信①。
