赠僧（宋·葛庆龙）　　七言绝句　押萧韵	七轴莲经供茗瓢，一龛绣佛挂松寮。舶香亦带鱼龙气，自采枝头柏子烧。
谢理得惠书（宋·葛庆龙）　　七言绝句　押青韵	五朵飞来渍剡藤，重重响似水泠泠。不教落在红尘耳，读与青松白鹤听。
咏黄石公（宋·葛庆龙）　　七言绝句　押阳韵	挟书律重火犹光，天下严搜不敢藏。圯上老人无见者，一编亲写授张良。
筇杖（宋·葛庆龙）　　七言绝句　押支韵	白发慵巾短短衣，闲行斜倚小筇枝。自家弄影犹痴绝，只似初骑竹马时。
题仙人洞并谢草堂方公所赠石匣（宋·葛庆龙）　　七言绝句　押支韵	多谢林僧亦好奇，新遗石匣我酬诗。鹤胎收却云封裹，付嘱山灵木客时。
游宝林寺（宋·葛庆龙）　　七言绝句　押支韵	坐如有待思依依，看竹回廊出寺迟。窅窅绿荫清寂处，半窗斜日两僧棋①。
