三句颂 函盖乾坤（宋·道禅师）　　五言绝句　押阳韵	乾坤并万象，地狱及天堂。物物皆真见，头头用不伤。
三句颂 截断众流（宋·道禅师）　　五言绝句　押灰韵	堆山积岳来，一一尽尘埃。更拟论玄妙，冰消解瓦摧。
三句颂 随波逐浪（宋·道禅师）　　五言绝句　押支韵	辩口利舌问，高低总不亏。还知应病药，诊候在临时。
三句外（宋·道禅师）　　五言绝句　押灰韵	当人如举唱，三句岂能该。有问如何事，南岳与天台。
抬荐商量（宋·道禅师）　　五言绝句	相见不扬眉，君东我亦西。红霞穿碧落，白日绕须弥①。
