晚春曲（宋·李楫）　　五言绝句　押支韵	春欲归何处，流莺也不知。只应江上水，暗与落花期。
车盖亭（宋·李楫）　　七言绝句　押尤韵	白兆山光相掩映，紫金气象转深幽。水西咫尺无人到，乘兴何妨一叶舟。
落花（宋·李楫）　　七言绝句　押寒韵	拾得红英不忍残，殷勤更觅旧枝安。情知不似开时好，犹胜溪头水面看①。
山家（宋·李楫）　　七言绝句　押麻韵	日长无客到山家，藓晕封苔一径斜。睡美不知中夜雨，起来惊落半岩花①。
有约（宋·李楫）　　七言绝句　押元韵	杨柳垂堤水绕门，可人清景近黄昏。明朝有约谁先到，手掐花梢记月痕①。
跨鳌亭（宋·李楫）　　押尤韵	紫金高处是鳌头，独负华堂几百秋。形势平吞北梦泽，规摹雄峙南司州。三关设险知无敌，八相风流孰与俦①。
句（宋·李楫）　　押支韵	令人却忆保宁寺，二水三山李白诗（凤凰台）。
