秦君亭（宋·傅宗教）　　五言绝句　押歌韵	隐君在何许，遗迹此山阿。春风闭门处，回首空烟萝。
思古堂（宋·傅宗教）　　押灰韵	何人凿山腹，高堂跨崔嵬。悠悠百年事，滚滚随尘埃。弃置君莫问，且复共此杯。
无名木（宋·傅宗教）	峨峨九日峰，下有千年木。正异岁寒姿，命受兹也独。十围铁干古，百尺虬髯矗。不以姓名显，肯为封爵辱。畏名如畏虎，终焉托岩伏。何当大厦求，一枝亦自足①。
