九江闻雁（宋·陈均）　　七言绝句　押尤韵	烟波渺渺梦悠悠，家在江南海尽头。音信稀疏兄弟隔，一声新雁九江秋①。
鹤林寺（宋·陈均）　　七言绝句　押删韵	知有枫林坐竹间，每寻纡路试登山。虚檐忽见笼中鹤，似我爱閒身未閒①。
七溪（宋·陈均）　　七言绝句　押齐韵	为爱潺湲引步迟，不知行尽白云西。云深忘却来时路，吟断空山片月低①。
