雁来红（宋·孙吴会）　　七言绝句　押寒韵	眩碧成朱被眼瞒，分明是叶作花看。道人本不知香色，只与窗前草一般①。
摸鱼儿 题甘露寺多景楼（宋·孙吴会）	八窗空、展宽秋影，长江流入尊俎。天围绀碧低群岫，斜日去鸿堪数。沈别浦。但目断、烟芜莽苍连平楚。晨钟暮鼓。算触景多愁，关人底事，倚槛听鸣橹。英雄恨，赢得名存北府。寄奴今寄何所。西风依旧潮来去，山海颉颃吞吐。霜月古。直耐冷、相随燕我瑶芝圃。掀髯起舞。看羱伏苍苔，龙吟翠葆，天籁奏韶舞。
句（宋·孙吴会）　　押文韵	游人只解游晴昼，风雨朝昏尽属君（题南园）。
