琵琶洲（宋·饶鲁）　　七言绝句　押先韵	浔阳江上谱无传，化作沙汀越水边。一段遗音人不识，夜深幽咽下滩泉①。
石潭急峡（宋·饶鲁）	两山夹石湍风急，势吼春雷鬼神泣。行人登舟不敢渡，疑有毒龙深处蛰。崄巇彷佛若霅川，又如三峡倾潺湲。水窍恐是神禹凿，石骨未遇秦皇鞭。飞流溅沫弄寒玉，赴壑奔滩势何速。直须流入镜湖心，如遇平夷舟免覆。垂杨覆阴沙岸高，将军唤渡多英豪。中流击楫思祖逖，当清宇宙无辞劳。
重湖夜月（宋·饶鲁）	昔闻放翁歌镜湖，船尾有酒船头书。又闻鉴湖赐贺老，剡川一曲春风好。番阳之东有重湖，风光与此真不殊。澄波湛湛秋瑩洁，碧月一片沈冰壶。彩舟荡漾摇画桨，上下天光映虚幌。踏歌搥鼓乐者谁，武陵樵客来湖上。赋诗横槊何英雄，气概或誇前两翁。我思此景劳梦寐，东望咄咄徒书空。
稠山茅屋（宋·饶鲁）	乱山堆翠如削玉，中有幽人结茅屋。柴扉寂寂掩苍苔，书院萧萧倚修竹。閒云满堑白日长，咿唔朝暮声琅琅。芸窗纸破漏月影，石砚水满涵天光。风尘频动遍丘壑，此处怡然有真乐。门静应无俗客过，茅深不怕秋风恶。高人有才济当路，会见徵贤日三顾。愧我飘蓬石洞人，茅屋青山在何处。
远浦棹歌（宋·饶鲁）	片帆雨霁飞烟江，渔翁停棹歌沧浪。一声欸乃山水绿，浪中惊起双鸳鸯。双鸳鸯情一何美，同宿同飞在秋水。不似人生苦别离，女嫁征夫男战死。五湖烟景方纷争，闻歌顿欲思升平。邻舟短笛应风响，落日淡淡波冥冥。美人春词誇艳丽，皓齿朱唇楚腰细。江楼富贵今如何，不似沧浪真趣味。
春水番湖（宋·饶鲁）	春湖浩浩无津涯，银河之水天上来。波澜万顷清复浊，日光云影相昭回。雄吞宇宙何寥廓，欲度冥鸿势还却。南通海气北长江，月出东兮日西落。当时神禹别九州，彭蠡之泽居上流。千年人物馀润泽，况乃雄秀光潜虬。洪涛如山驾楼橹，春风夜夜喧鼙鼓。谁是江湖归去人，扁舟范蠡随渔父①。
