京城元夕（宋·王同祖）　　七言绝句　押真韵	鼓吹喧喧月色新，天街灯火夜通晨。玉皇不赐传柑宴，散与千门万户春。
湖上（宋·王同祖）　　七言绝句　押麻韵	长安三月又三日，绣毂狨鞍富贵家。笙鼓喧天兰棹稳，卖花声里夕阳斜。
送客（宋·王同祖）　　七言绝句　押微韵	千金难买是心知，谁遣相亲又语违。杨柳若知行客恨，不教飞絮扑春衣。
太乙宫即事（宋·王同祖）　　七言绝句　押灰韵	金殿重重昼不开，盘窠苍柏两行栽。角门东畔瞻宸几，仙仗曾迎翠辇来。
夜步内门（宋·王同祖）　　七言绝句　押先韵	静夜孤灯人未眠，等闲行过内门前。一声唱彻连珠喏①，碧月朱栏绿柳边。
时事感怀（宋·王同祖）　　七言绝句　押真韵	壮心如铁气填膺，万里中原尚虏尘。一枕西风两行泪，封疆谁是死绥人。
晚秋（宋·王同祖）　　七言绝句　押阳韵	世变无穷客恨长，栏干遍倚怕斜阳。满篱黄菊无心看，付与游蜂自在忙。
明堂观礼杂咏十三首 尚书省观涖誓（宋·王同祖）　　七言绝句　押寒韵	中辛㫝吉建斋坛，宰相前期誓百官。尊祖敬宗天子孝，仪文莫作等闲看。
明堂观礼杂咏十三首 端门观习肆赦仪（宋·王同祖）　　七言绝句　押元韵	百官常服拱端门，丹凤衔书下九阍。宰相近前宣授了，齐班舞蹈谢君恩。
明堂观礼杂咏十三首 车驾宿太庙（宋·王同祖）　　七言绝句　押庚韵	金甲重矛两内臣，阶前对立气英英。巡更场内知谁问，听得传呼宰相名。
明堂观礼杂咏十三首 车驾回太庙（宋·王同祖）　　七言绝句　押灰韵	瑞霭祥云傍晓开，九重法驾太宫回。一声静跸千官肃，卫士传呼御座来。
明堂观礼杂咏十三首 天街夜步（宋·王同祖）　　七言绝句　押庚韵	风不停云月更清，千门绣幕笑歌声。御营巡检无拘束，走马天街夜达明。
明堂观礼杂咏十三首 内前（宋·王同祖）　　七言绝句　押阳韵	青帷朱簴柳阴旁，玉磬金钟列两行。辇路旋添泥细细，鸡竿揭处瑞云黄。
明堂观礼杂咏十三首 和宁门观驾（宋·王同祖）　　七言绝句　押庚韵	星斗中天夜向晨，寸云不点月华明。六飞过尽灯如昼，宫漏迟迟报五更。
明堂观礼杂咏十三首 肆赦（宋·王同祖）　　七言绝句　押微韵	九重夙夜畏天威，何事晴明一夕非。不放明堂大朝贺，尽抛坊乐独行归①。
明堂观礼杂咏十三首 观景灵宫恭谢（宋·王同祖）　　七言绝句　押麻韵	圣皇宗祀怀多福，恭谢回来看带花。柷敔笙镛齐合奏，举头更见日光华①。
明堂观礼杂咏十三首 回龙桥望驾（宋·王同祖）　　七言绝句　押寒韵	回龙桥上望龙颜，毅采英英仰视难。须信吾皇自神武，何忧中国不尊安。
晚秋登楼（宋·王同祖）　　七言绝句　押微韵	独上危楼望落晖，昏鸦归处远烟微。湖光洗得秋容净，争奈江南雁又飞。
观雨（宋·王同祖）　　七言绝句　押东韵	萧萧疏雨逐斜风，三两归鸦暮霭中。看到菊花无可看，一年秋事又成空。
送刘方石归旴江（宋·王同祖）　　七言绝句　押庚韵	岁云暮矣始成行，珍重刘公半月程。四海干戈风物改，乱离时节别离轻。
