咏陈后主（宋·刘镗）　　七言绝句　押真韵	晋王前殿贺平陈，从此江南雨露均。四百年间重混一，谁知江令是忠臣①。
观傩（宋·刘镗）	寒云岑岑天四阴，画堂烛影红帘深。鼓声渊渊管声脆，鬼神变化供剧戏。金洼玉注始淙潺，眼前倏已非人间。夜叉蓬头铁骨朵，赭衣蓝面眼迸火。魆蜮罔象初偋伶，跪羊立豕相嚘嘤。红裳姹女掩蕉扇，绿绶髯翁握蒲剑。翻筋踢斗臂膊宽，张颐吐舌唇吻乾。摇头四顾百距跃，敛身千态万斝索。青衫舞蹈忽屏营，采云揭帐森麾旌。紫衣金章独据案，马䰎牛权两披判。能言祸福不由天，躬履率越分愚贤。蒺藜奋威小甶服①，䰐縿扬声大髽哭。白面使者竹筱鎗，自誇搜捕无遗藏。牛冠钳卷试阅检，虎冒肩戟光睒闪。五方点队乱纷纭，何物老妪绷獶熏。终南进士破鞮绔，嗜酒不悟鬼看觑。奋髯瞠目起婆娑，众邪一正将那何。披发将毕飞一吷，风捲云收鼓箫歇。夜阑四坐惨不怡，主人送客客尽悲。归来桃茢坐深蕳，翠鸮黄狐犹在眼。自歌楚些大小招，坐久魂魄游逍遥。会稽山中禹非死，铸鼎息壤乃若此。又闻鬼奸多冯人，人奸冯鬼奸入神。明日冠裳好妆束，白昼通都人面目②。
句（宋·刘镗）　　押元韵	孔曾有道官天下，韩柳无文世子孙（甲申迁居）。
