联句（宋·杨氏）　　五言绝句　押东韵	珠帘半窗月，修竹一帘风（杨氏）。何事今宵景，无人解与同（谢生）。
缔盟（宋·杨氏）　　五言绝句　押东韵	珠帘半床月，青竹满林风。何事今宵景，无人解与同。
永别（宋·杨氏）　　五言绝句　押麻韵	春尽花随尽，其如自是花。从来说花意，不过此容华①。
沁园春 题樟镇清江桥和无闻翁（宋·杨氏）　　押歌韵	便归去，懒东涂西抹，学少年婆。
满庭芳 题樟镇清江桥和无闻翁（宋·杨氏）　　押遇韵	错应谁铸。
