偈（宋·释本）　　押东韵	五峰家风，南北西东。要用便用，以橛钉空①。
偈二首（宋·释本）　　押侵韵	清明已过十馀日，华雨阑珊方寸深。春色恼人眠不得，黄鹂飞过绿杨阴。
偈（宋·释本）　　押职韵	半在河南半在北，一片虚凝似墨黑。冷地思量愁杀人，叵耐云门这老贼①。
