送空维那（宋·释行巩）　　七言绝句　押删韵	十载中原一棹还，碧琉璃外更无山。扣舷三下知谁会，自作吴音唱月弯①。
颂古十首（宋·释行巩）	玉殿苔生正不居，四臣无路纳嘉谟。老农知是承谁力，风暖歌声落野锄①。
偈颂三首（宋·释行巩）	横眸碧汉，万国风清。垂手红尘，千峰日出。
